NUMERO,NOMRE,TIPO_1,TIPO_2,PUNTOS_DE_VIDA,PUNTOS_ATAQUE,PUNTOS_DEFENSA,PUNTOS_ATAQUE_ESPECIAL,PUNTO_DEFENSA_ESPECIAL,PUNTOS_VELOCIDAD,NOMBRE_GENERATIONS,LEGENDARIO
399,Spheal,Hielo,Agua,70,40,50,55,50,25,3,FALSO
400,Sealeo,Hielo,Agua,90,60,70,75,70,45,3,FALSO
401,Walrein,Hielo,Agua,110,80,90,95,90,65,3,FALSO
402,Clamperl,Agua,,35,64,85,74,55,32,3,FALSO
403,Huntail,Agua,,55,104,105,94,75,52,3,FALSO
404,Gorebyss,Agua,,55,84,105,114,75,52,3,FALSO
405,Relicanth,Agua,Roca,100,90,130,45,65,55,3,FALSO
406,Luvdisc,Agua,,43,30,55,40,65,97,3,FALSO
407,Bagon,Dragon,,45,75,60,40,30,50,3,FALSO
408,Shelgon,Dragon,,65,95,100,60,50,50,3,FALSO
409,Salamence,Dragon,Volador,95,135,80,110,80,100,3,FALSO
410,Mega Salamence,Dragon,Volador,95,145,130,120,90,120,3,FALSO
411,Beldum,Acero,Psiquico,40,55,80,35,60,30,3,FALSO
412,Metang,Acero,Psiquico,60,75,100,55,80,50,3,FALSO
413,Metagross,Acero,Psiquico,80,135,130,95,90,70,3,FALSO
414,Mega Metagross,Acero,Psiquico,80,145,150,105,110,110,3,FALSO
415,Regirock,Roca,,80,100,200,50,100,50,3,VERDADERO
416,Regice,Hielo,,80,50,100,100,200,50,3,VERDADERO
417,Registeel,Acero,,80,75,150,75,150,50,3,VERDADERO
418,Latias,Dragon,Psiquico,80,80,90,110,130,110,3,VERDADERO
419,Mega Latias,Dragon,Psiquico,80,100,120,140,150,110,3,VERDADERO
420,Latios,Dragon,Psiquico,80,90,80,130,110,110,3,VERDADERO
421,Mega Latios,Dragon,Psiquico,80,130,100,160,120,110,3,VERDADERO
422,Kyogre,Agua,,100,100,90,150,140,90,3,VERDADERO
423,Kyogre primario,Agua,,100,150,90,180,160,90,3,VERDADERO
424,Groudon,Tierra,,100,150,140,100,90,90,3,VERDADERO
425,Groudon primario,Tierra,Fuego,100,180,160,150,90,90,3,VERDADERO
426,Rayquaza,Dragon,Volador,105,150,90,150,90,95,3,VERDADERO
427,Mega Rayquaza,Dragon,Volador,105,180,100,180,100,115,3,VERDADERO
428,Jirachi,Acero,Psiquico,100,100,100,100,100,100,3,VERDADERO
429,Deoxys forma normal,Psiquico,,50,150,50,150,50,150,3,VERDADERO
430,Deoxys forma ataque,Psiquico,,50,180,20,180,20,150,3,VERDADERO
431,Deoxys forma defensa,Psiquico,,50,70,160,70,160,90,3,VERDADERO
432,Deoxys forma r?pida,Psiquico,,50,95,90,95,90,180,3,VERDADERO
433,Turtwig,Planta,,55,68,64,45,55,31,4,FALSO
434,Grotle,Planta,,75,89,85,55,65,36,4,FALSO
435,Torterra,Planta,Tierra,95,109,105,75,85,56,4,FALSO
436,Chimchar,Fuego,,44,58,44,58,44,61,4,FALSO
437,Monferno,Fuego,Combate,64,78,52,78,52,81,4,FALSO
438,Infernape,Fuego,Combate,76,104,71,104,71,108,4,FALSO
439,Piplup,Agua,,53,51,53,61,56,40,4,FALSO
440,Prinplup,Agua,,64,66,68,81,76,50,4,FALSO
441,Empoleon,Agua,Acero,84,86,88,111,101,60,4,FALSO
442,Starly,Normal,Volador,40,55,30,30,30,60,4,FALSO
443,Staravia,Normal,Volador,55,75,50,40,40,80,4,FALSO
444,Staraptor,Normal,Volador,85,120,70,50,60,100,4,FALSO
445,Bidoof,Normal,,59,45,40,35,40,31,4,FALSO
446,Bibarel,Normal,Agua,79,85,60,55,60,71,4,FALSO
447,Kricketot,Bicho,,37,25,41,25,41,25,4,FALSO
448,Kricketune,Bicho,,77,85,51,55,51,65,4,FALSO
449,Shinx,Electrico,,45,65,34,40,34,45,4,FALSO
450,Luxio,Electrico,,60,85,49,60,49,60,4,FALSO
451,Luxray,Electrico,,80,120,79,95,79,70,4,FALSO
452,Budew,Planta,Veneno,40,30,35,50,70,55,4,FALSO
453,Roserade,Planta,Veneno,60,70,65,125,105,90,4,FALSO
454,Cranidos,Roca,,67,125,40,30,30,58,4,FALSO
455,Rampardos,Roca,,97,165,60,65,50,58,4,FALSO
456,Shieldon,Roca,Acero,30,42,118,42,88,30,4,FALSO
457,Bastiodon,Roca,Acero,60,52,168,47,138,30,4,FALSO
458,Burmy,Bicho,,40,29,45,29,45,36,4,FALSO
459,Wormadam tronco planta,Bicho,Planta,60,59,85,79,105,36,4,FALSO
460,Wormadam tronco arena,Bicho,Tierra,60,79,105,59,85,36,4,FALSO
461,Wormadam tronco basura,Bicho,Acero,60,69,95,69,95,36,4,FALSO
462,Mothim,Bicho,Volador,70,94,50,94,50,66,4,FALSO
463,Combee,Bicho,Volador,30,30,42,30,42,70,4,FALSO
464,Vespiquen,Bicho,Volador,70,80,102,80,102,40,4,FALSO
465,Pachirisu,Electrico,,60,45,70,45,90,95,4,FALSO
466,Buizel,Agua,,55,65,35,60,30,85,4,FALSO
467,Floatzel,Agua,,85,105,55,85,50,115,4,FALSO
468,Cherubi,Planta,,45,35,45,62,53,35,4,FALSO
469,Cherrim,Planta,,70,60,70,87,78,85,4,FALSO
470,Shellos,Agua,,76,48,48,57,62,34,4,FALSO
471,Gastrodon,Agua,Tierra,111,83,68,92,82,39,4,FALSO
472,Ambipom,Normal,,75,100,66,60,66,115,4,FALSO
473,Drifloon,Fantasma,Volador,90,50,34,60,44,70,4,FALSO
474,Drifblim,Fantasma,Volador,150,80,44,90,54,80,4,FALSO
475,Buneary,Normal,,55,66,44,44,56,85,4,FALSO
476,Lopunny,Normal,,65,76,84,54,96,105,4,FALSO
477,Mega Lopunny,Normal,Combate,65,136,94,54,96,135,4,FALSO
478,Mismagius,Fantasma,,60,60,60,105,105,105,4,FALSO
479,Honchkrow,Siniestro,Volador,100,125,52,105,52,71,4,FALSO
480,Glameow,Normal,,49,55,42,42,37,85,4,FALSO
481,Purugly,Normal,,71,82,64,64,59,112,4,FALSO
482,Chingling,Psiquico,,45,30,50,65,50,45,4,FALSO
483,Stunky,Veneno,Siniestro,63,63,47,41,41,74,4,FALSO
484,Skuntank,Veneno,Siniestro,103,93,67,71,61,84,4,FALSO
485,Bronzor,Acero,Psiquico,57,24,86,24,86,23,4,FALSO
486,Bronzong,Acero,Psiquico,67,89,116,79,116,33,4,FALSO
487,Bonsly,Roca,,50,80,95,10,45,10,4,FALSO
488,Mime Jr.,Psiquico,Hada,20,25,45,70,90,60,4,FALSO
489,Happiny,Normal,,100,5,5,15,65,30,4,FALSO
490,Chatot,Normal,Volador,76,65,45,92,42,91,4,FALSO
491,Spiritomb,Fantasma,Siniestro,50,92,108,92,108,35,4,FALSO
492,Gible,Dragon,Tierra,58,70,45,40,45,42,4,FALSO
493,Gabite,Dragon,Tierra,68,90,65,50,55,82,4,FALSO
494,Garchomp,Dragon,Tierra,108,130,95,80,85,102,4,FALSO
495,Mega Garchomp,Dragon,Tierra,108,170,115,120,95,92,4,FALSO
496,Munchlax,Normal,,135,85,40,40,85,5,4,FALSO
497,Riolu,Combate,,40,70,40,35,40,60,4,FALSO
498,Lucario,Combate,Acero,70,110,70,115,70,90,4,FALSO
499,Mega Lucario,Combate,Acero,70,145,88,140,70,112,4,FALSO
500,Hippopotas,Tierra,,68,72,78,38,42,32,4,FALSO
501,Hippowdon,Tierra,,108,112,118,68,72,47,4,FALSO
502,Skorupi,Veneno,Bicho,40,50,90,30,55,65,4,FALSO
503,Drapion,Veneno,Siniestro,70,90,110,60,75,95,4,FALSO
504,Croagunk,Veneno,Combate,48,61,40,61,40,50,4,FALSO
505,Toxicroak,Veneno,Combate,83,106,65,86,65,85,4,FALSO
506,Carnivine,Planta,,74,100,72,90,72,46,4,FALSO
507,Finneon,Agua,,49,49,56,49,61,66,4,FALSO
508,Lumineon,Agua,,69,69,76,69,86,91,4,FALSO
509,Mantyke,Agua,Volador,45,20,50,60,120,50,4,FALSO
510,Snover,Planta,Hielo,60,62,50,62,60,40,4,FALSO
511,Abomasnow,Planta,Hielo,90,92,75,92,85,60,4,FALSO
512,Mega Abomasnow,Planta,Hielo,90,132,105,132,105,30,4,FALSO
513,Weavile,Siniestro,Hielo,70,120,65,45,85,125,4,FALSO
514,Magnezone,Electrico,Acero,70,70,115,130,90,60,4,FALSO
515,Licklicky,Normal,,110,85,95,80,95,50,4,FALSO
516,Rhyperior,Tierra,Roca,115,140,130,55,55,40,4,FALSO
517,Tangrowth,Planta,,100,100,125,110,50,50,4,FALSO
518,Electivire,Electrico,,75,123,67,95,85,95,4,FALSO
519,Magmortar,Fuego,,75,95,67,125,95,83,4,FALSO
520,Togekiss,Hada,Volador,85,50,95,120,115,80,4,FALSO
521,Yanmega,Bicho,Volador,86,76,86,116,56,95,4,FALSO
522,Leafeon,Planta,,65,110,130,60,65,95,4,FALSO
523,Glaceon,Hielo,,65,60,110,130,95,65,4,FALSO
524,Gliscor,Tierra,Volador,75,95,125,45,75,95,4,FALSO
525,Mamoswine,Hielo,Tierra,110,130,80,70,60,80,4,FALSO
526,Porygon-Z,Normal,,85,80,70,135,75,90,4,FALSO
527,Gallade,Psiquico,Combate,68,125,65,65,115,80,4,FALSO
528,Mega Gallade,Psiquico,Combate,68,165,95,65,115,110,4,FALSO
529,Probopass,Roca,Acero,60,55,145,75,150,40,4,FALSO
530,Dusknoir,Fantasma,,45,100,135,65,135,45,4,FALSO
531,Froslass,Hielo,Fantasma,70,80,70,80,70,110,4,FALSO
532,Rotom,Electrico,Fantasma,50,50,77,95,77,91,4,FALSO
533,Rotom calor,Electrico,Fuego,50,65,107,105,107,86,4,FALSO
534,Rotom lavado,Electrico,Agua,50,65,107,105,107,86,4,FALSO
535,Rotom fr?o,Electrico,Hielo,50,65,107,105,107,86,4,FALSO
536,Rotom,Electrico,Volador,50,65,107,105,107,86,4,FALSO
537,Rotom corte,Electrico,Planta,50,65,107,105,107,86,4,FALSO
538,Uxie,Psiquico,,75,75,130,75,130,95,4,VERDADERO
539,Mesprit,Psiquico,,80,105,105,105,105,80,4,VERDADERO
540,Azelf,Psiquico,,75,125,70,125,70,115,4,VERDADERO
541,Dialga,Acero,Dragon,100,120,120,150,100,90,4,VERDADERO
542,Palkia,Agua,Dragon,90,120,100,150,120,100,4,VERDADERO
543,Heatran,Fuego,Acero,91,90,106,130,106,77,4,VERDADERO
544,Regigigas,Normal,,110,160,110,80,110,100,4,VERDADERO
545,Giratina forma modificada,Fantasma,Dragon,150,100,120,100,120,90,4,VERDADERO
546,Giratina forma original,Fantasma,Dragon,150,120,100,120,100,90,4,VERDADERO
547,Cresselia,Psiquico,,120,70,120,75,130,85,4,FALSO
548,Phione,Agua,,80,80,80,80,80,80,4,FALSO
549,Manaphy,Agua,,100,100,100,100,100,100,4,FALSO
550,Darkrai,Siniestro,,70,90,90,135,90,125,4,VERDADERO
551,Shaymin forma tierra,Planta,,100,100,100,100,100,100,4,VERDADERO
552,Shaymin forma cielo,Planta,Volador,100,103,75,120,75,127,4,VERDADERO
553,Arceus,Normal,,120,120,120,120,120,120,4,VERDADERO
554,Victini,Psiquico,Fuego,100,100,100,100,100,100,5,VERDADERO
555,Snivy,Planta,,45,45,55,45,55,63,5,FALSO
556,Servine,Planta,,60,60,75,60,75,83,5,FALSO
557,Serperior,Planta,,75,75,95,75,95,113,5,FALSO
558,Tepig,Fuego,,65,63,45,45,45,45,5,FALSO
559,Pignite,Fuego,Combate,90,93,55,70,55,55,5,FALSO
560,Emboar,Fuego,Combate,110,123,65,100,65,65,5,FALSO
561,Oshawott,Agua,,55,55,45,63,45,45,5,FALSO
562,Dewott,Agua,,75,75,60,83,60,60,5,FALSO
563,Samurott,Agua,,95,100,85,108,70,70,5,FALSO
564,Patrat,Normal,,45,55,39,35,39,42,5,FALSO
565,Watchog,Normal,,60,85,69,60,69,77,5,FALSO
566,Lillipup,Normal,,45,60,45,25,45,55,5,FALSO
567,Herdier,Normal,,65,80,65,35,65,60,5,FALSO
568,Stoutland,Normal,,85,110,90,45,90,80,5,FALSO
569,Purrloin,Siniestro,,41,50,37,50,37,66,5,FALSO
570,Liepard,Siniestro,,64,88,50,88,50,106,5,FALSO
571,Pansage,Planta,,50,53,48,53,48,64,5,FALSO
572,Simisage,Planta,,75,98,63,98,63,101,5,FALSO
573,Pansear,Fuego,,50,53,48,53,48,64,5,FALSO
574,Simisear,Fuego,,75,98,63,98,63,101,5,FALSO
575,Panpour,Agua,,50,53,48,53,48,64,5,FALSO
576,Simipour,Agua,,75,98,63,98,63,101,5,FALSO
577,Munna,Psiquico,,76,25,45,67,55,24,5,FALSO
578,Musharna,Psiquico,,116,55,85,107,95,29,5,FALSO
579,Pidove,Normal,Volador,50,55,50,36,30,43,5,FALSO
580,Tranquill,Normal,Volador,62,77,62,50,42,65,5,FALSO
581,Unfezant,Normal,Volador,80,115,80,65,55,93,5,FALSO
582,Blitzle,Electrico,,45,60,32,50,32,76,5,FALSO
583,Zebstrika,Electrico,,75,100,63,80,63,116,5,FALSO
584,Roggenrola,Roca,,55,75,85,25,25,15,5,FALSO
585,Boldore,Roca,,70,105,105,50,40,20,5,FALSO
586,Gigalith,Roca,,85,135,130,60,80,25,5,FALSO
587,Woobat,Psiquico,Volador,55,45,43,55,43,72,5,FALSO
588,Swoobat,Psiquico,Volador,67,57,55,77,55,114,5,FALSO
589,Drilbur,Tierra,,60,85,40,30,45,68,5,FALSO
590,Excadrill,Tierra,Acero,110,135,60,50,65,88,5,FALSO
591,Audino,Normal,,103,60,86,60,86,50,5,FALSO
592,Mega Audino,Normal,Hada,103,60,126,80,126,50,5,FALSO
593,Timburr,Combate,,75,80,55,25,35,35,5,FALSO
594,Gurdurr,Combate,,85,105,85,40,50,40,5,FALSO
595,Conkeldurr,Combate,,105,140,95,55,65,45,5,FALSO
596,Tympole,Agua,,50,50,40,50,40,64,5,FALSO
597,Palpitoad,Agua,Tierra,75,65,55,65,55,69,5,FALSO
598,Seismitoad,Agua,Tierra,105,95,75,85,75,74,5,FALSO
599,Throh,Combate,,120,100,85,30,85,45,5,FALSO
600,Sawk,Combate,,75,125,75,30,75,85,5,FALSO
601,Sewaddle,Bicho,Planta,45,53,70,40,60,42,5,FALSO
602,Swadloon,Bicho,Planta,55,63,90,50,80,42,5,FALSO
603,Leavanny,Bicho,Planta,75,103,80,70,80,92,5,FALSO
604,Venipede,Bicho,Veneno,30,45,59,30,39,57,5,FALSO
605,Whirlipede,Bicho,Veneno,40,55,99,40,79,47,5,FALSO
606,Scolipede,Bicho,Veneno,60,100,89,55,69,112,5,FALSO
607,Cottonee,Planta,Hada,40,27,60,37,50,66,5,FALSO
608,Whimsicott,Planta,Hada,60,67,85,77,75,116,5,FALSO
609,Petilil,Planta,,45,35,50,70,50,30,5,FALSO
610,Lilligant,Planta,,70,60,75,110,75,90,5,FALSO
611,Basculin,Agua,,70,92,65,80,55,98,5,FALSO
612,Sandile,Tierra,Siniestro,50,72,35,35,35,65,5,FALSO
613,Krokorok,Tierra,Siniestro,60,82,45,45,45,74,5,FALSO
614,Krookodile,Tierra,Siniestro,95,117,80,65,70,92,5,FALSO
615,Darumaka,Fuego,,70,90,45,15,45,50,5,FALSO
616,Darmanitan forma est?ndar,Fuego,,105,140,55,30,55,95,5,FALSO
617,Darmanitan modo zen,Fuego,Psiquico,105,30,105,140,105,55,5,FALSO
618,Maractus,Planta,,75,86,67,106,67,60,5,FALSO
619,Dwebble,Bicho,Roca,50,65,85,35,35,55,5,FALSO
620,Crustle,Bicho,Roca,70,95,125,65,75,45,5,FALSO
621,Scraggy,Siniestro,Combate,50,75,70,35,70,48,5,FALSO
622,Scrafty,Siniestro,Combate,65,90,115,45,115,58,5,FALSO
623,Sigilyph,Psiquico,Volador,72,58,80,103,80,97,5,FALSO
624,Yamask,Fantasma,,38,30,85,55,65,30,5,FALSO
625,Cofagrigus,Fantasma,,58,50,145,95,105,30,5,FALSO
626,Tirtouga,Agua,Roca,54,78,103,53,45,22,5,FALSO
627,Carracosta,Agua,Roca,74,108,133,83,65,32,5,FALSO
628,Archen,Roca,Volador,55,112,45,74,45,70,5,FALSO
629,Archeops,Roca,Volador,75,140,65,112,65,110,5,FALSO
630,Trubbish,Veneno,,50,50,62,40,62,65,5,FALSO
631,Garbodor,Veneno,,80,95,82,60,82,75,5,FALSO
632,Zorua,Siniestro,,40,65,40,80,40,65,5,FALSO
633,Zoroark,Siniestro,,60,105,60,120,60,105,5,FALSO
634,Minccino,Normal,,55,50,40,40,40,75,5,FALSO
635,Cinccino,Normal,,75,95,60,65,60,115,5,FALSO
636,Gothita,Psiquico,,45,30,50,55,65,45,5,FALSO
637,Gothorita,Psiquico,,60,45,70,75,85,55,5,FALSO
638,Gothitelle,Psiquico,,70,55,95,95,110,65,5,FALSO
639,Solosis,Psiquico,,45,30,40,105,50,20,5,FALSO
640,Duosion,Psiquico,,65,40,50,125,60,30,5,FALSO
641,Reuniclus,Psiquico,,110,65,75,125,85,30,5,FALSO
642,Ducklett,Agua,Volador,62,44,50,44,50,55,5,FALSO
643,Swanna,Agua,Volador,75,87,63,87,63,98,5,FALSO
644,Vanillite,Hielo,,36,50,50,65,60,44,5,FALSO
645,Vanillish,Hielo,,51,65,65,80,75,59,5,FALSO
646,Vanilluxe,Hielo,,71,95,85,110,95,79,5,FALSO
647,Deerling,Normal,Planta,60,60,50,40,50,75,5,FALSO
648,Sawsbuck,Normal,Planta,80,100,70,60,70,95,5,FALSO
649,Emolga,Electrico,Volador,55,75,60,75,60,103,5,FALSO
650,Karrablast,Bicho,,50,75,45,40,45,60,5,FALSO
651,Escavalier,Bicho,Acero,70,135,105,60,105,20,5,FALSO
652,Foongus,Planta,Veneno,69,55,45,55,55,15,5,FALSO
653,Amoonguss,Planta,Veneno,114,85,70,85,80,30,5,FALSO
654,Frillish,Agua,Fantasma,55,40,50,65,85,40,5,FALSO
655,Jellicent,Agua,Fantasma,100,60,70,85,105,60,5,FALSO
656,Alomomola,Agua,,165,75,80,40,45,65,5,FALSO
657,Joltik,Bicho,Electrico,50,47,50,57,50,65,5,FALSO
658,Galvantula,Bicho,Electrico,70,77,60,97,60,108,5,FALSO
659,Ferroseed,Planta,Acero,44,50,91,24,86,10,5,FALSO
660,Ferrothorn,Planta,Acero,74,94,131,54,116,20,5,FALSO
661,Klink,Acero,,40,55,70,45,60,30,5,FALSO
662,Klang,Acero,,60,80,95,70,85,50,5,FALSO
663,Klinklang,Acero,,60,100,115,70,85,90,5,FALSO
664,Tynamo,Electrico,,35,55,40,45,40,60,5,FALSO
665,Eelektrik,Electrico,,65,85,70,75,70,40,5,FALSO
666,Eelektross,Electrico,,85,115,80,105,80,50,5,FALSO
667,Elgyem,Psiquico,,55,55,55,85,55,30,5,FALSO
668,Beheeyem,Psiquico,,75,75,75,125,95,40,5,FALSO
669,Litwick,Fantasma,Fuego,50,30,55,65,55,20,5,FALSO
670,Lampent,Fantasma,Fuego,60,40,60,95,60,55,5,FALSO
671,Chandelure,Fantasma,Fuego,60,55,90,145,90,80,5,FALSO
672,Axew,Dragon,,46,87,60,30,40,57,5,FALSO
673,Fraxure,Dragon,,66,117,70,40,50,67,5,FALSO
674,Haxorus,Dragon,,76,147,90,60,70,97,5,FALSO
675,Cubchoo,Hielo,,55,70,40,60,40,40,5,FALSO
676,Beartic,Hielo,,95,110,80,70,80,50,5,FALSO
677,Cryogonal,Hielo,,70,50,30,95,135,105,5,FALSO
678,Shelmet,Bicho,,50,40,85,40,65,25,5,FALSO
679,Accelgor,Bicho,,80,70,40,100,60,145,5,FALSO
680,Stunfisk,Tierra,Electrico,109,66,84,81,99,32,5,FALSO
681,Mienfoo,Combate,,45,85,50,55,50,65,5,FALSO
682,Mienshao,Combate,,65,125,60,95,60,105,5,FALSO
683,Druddigon,Dragon,,77,120,90,60,90,48,5,FALSO
684,Golett,Tierra,Fantasma,59,74,50,35,50,35,5,FALSO
685,Golurk,Tierra,Fantasma,89,124,80,55,80,55,5,FALSO
686,Pawniard,Siniestro,Acero,45,85,70,40,40,60,5,FALSO
687,Bisharp,Siniestro,Acero,65,125,100,60,70,70,5,FALSO
688,Bouffalant,Normal,,95,110,95,40,95,55,5,FALSO
689,Rufflet,Normal,Volador,70,83,50,37,50,60,5,FALSO
690,Braviary,Normal,Volador,100,123,75,57,75,80,5,FALSO
691,Vullaby,Siniestro,Volador,70,55,75,45,65,60,5,FALSO
692,Mandibuzz,Siniestro,Volador,110,65,105,55,95,80,5,FALSO
693,Heatmor,Fuego,,85,97,66,105,66,65,5,FALSO
694,Durant,Bicho,Acero,58,109,112,48,48,109,5,FALSO
695,Deino,Siniestro,Dragon,52,65,50,45,50,38,5,FALSO
696,Zweilous,Siniestro,Dragon,72,85,70,65,70,58,5,FALSO
697,Hydreigon,Siniestro,Dragon,92,105,90,125,90,98,5,FALSO
698,Larvesta,Bicho,Fuego,55,85,55,50,55,60,5,FALSO
699,Volcarona,Bicho,Fuego,85,60,65,135,105,100,5,FALSO
700,Cobalion,Acero,Combate,91,90,129,90,72,108,5,VERDADERO
701,Terrakion,Roca,Combate,91,129,90,72,90,108,5,VERDADERO
702,Virizion,Planta,Combate,91,90,72,90,129,108,5,VERDADERO
703,Tornadus forma avatar,Volador,,79,115,70,125,80,111,5,VERDADERO
704,Tornadus forma t?tem,Volador,,79,100,80,110,90,121,5,VERDADERO
705,Thundurus forma avatar,Electrico,Volador,79,115,70,125,80,111,5,VERDADERO
706,Thundurus forma t?tem,Electrico,Volador,79,105,70,145,80,101,5,VERDADERO
707,Reshiram,Dragon,Fuego,100,120,100,150,120,90,5,VERDADERO
708,Zekrom,Dragon,Electrico,100,150,120,120,100,90,5,VERDADERO
709,Landorus forma avatar,Tierra,Volador,89,125,90,115,80,101,5,VERDADERO
710,Landorus forma t?tem,Tierra,Volador,89,145,90,105,80,91,5,VERDADERO
711,Kyurem,Dragon,Hielo,125,130,90,130,90,95,5,VERDADERO
712,Kyurem negro,Dragon,Hielo,125,170,100,120,90,95,5,VERDADERO
713,Kyurem blanco,Dragon,Hielo,125,120,90,170,100,95,5,VERDADERO
714,Keldeo forma normal,Agua,Combate,91,72,90,129,90,108,5,FALSO
715,Keldeo forma br?o,Agua,Combate,91,72,90,129,90,108,5,FALSO
716,Meloetta forma l?rica,Normal,Psiquico,100,77,77,128,128,90,5,FALSO
717,Meloetta forma danza,Normal,Combate,100,128,90,77,77,128,5,FALSO
718,Genesect,Bicho,Acero,71,120,95,120,95,99,5,FALSO
719,Chespin,Planta,,56,61,65,48,45,38,6,FALSO
720,Quilladin,Planta,,61,78,95,56,58,57,6,FALSO
721,Chesnaught,Planta,Combate,88,107,122,74,75,64,6,FALSO
722,Fennekin,Fuego,,40,45,40,62,60,60,6,FALSO
723,Braixen,Fuego,,59,59,58,90,70,73,6,FALSO
724,Delphox,Fuego,Psiquico,75,69,72,114,100,104,6,FALSO
725,Froakie,Agua,,41,56,40,62,44,71,6,FALSO
726,Frogadier,Agua,,54,63,52,83,56,97,6,FALSO
727,Greninja,Agua,Siniestro,72,95,67,103,71,122,6,FALSO
728,Bunnelby,Normal,,38,36,38,32,36,57,6,FALSO
729,Diggersby,Normal,Tierra,85,56,77,50,77,78,6,FALSO
730,Fletchling,Normal,Volador,45,50,43,40,38,62,6,FALSO
731,Fletchinder,Fuego,Volador,62,73,55,56,52,84,6,FALSO
732,Talonflame,Fuego,Volador,78,81,71,74,69,126,6,FALSO
733,Scatterbug,Bicho,,38,35,40,27,25,35,6,FALSO
734,Spewpa,Bicho,,45,22,60,27,30,29,6,FALSO
735,Vivillon,Bicho,Volador,80,52,50,90,50,89,6,FALSO
736,Litleo,Fuego,Normal,62,50,58,73,54,72,6,FALSO
737,Pyroar,Fuego,Normal,86,68,72,109,66,106,6,FALSO
738,Flab?b?,Hada,,44,38,39,61,79,42,6,FALSO
739,Floette,Hada,,54,45,47,75,98,52,6,FALSO
740,Florges,Hada,,78,65,68,112,154,75,6,FALSO
741,Skiddo,Planta,,66,65,48,62,57,52,6,FALSO
742,Gogoat,Planta,,123,100,62,97,81,68,6,FALSO
743,Pancham,Combate,,67,82,62,46,48,43,6,FALSO
744,Pangoro,Combate,Siniestro,95,124,78,69,71,58,6,FALSO
745,Furfrou,Normal,,75,80,60,65,90,102,6,FALSO
746,Espurr,Psiquico,,62,48,54,63,60,68,6,FALSO
747,Meowstic macho,Psiquico,,74,48,76,83,81,104,6,FALSO
748,Meowstic hembra,Psiquico,,74,48,76,83,81,104,6,FALSO
749,Honedge,Acero,Fantasma,45,80,100,35,37,28,6,FALSO
750,Doublade,Acero,Fantasma,59,110,150,45,49,35,6,FALSO
751,Aegislash forma de filo,Acero,,60,150,50,150,50,60,6,FALSO
752,Aegislash forma de escudo,Acero,Fantasma,60,50,150,50,150,60,6,FALSO
753,Spritzee,Hada,,78,52,60,63,65,23,6,FALSO
754,Aromatisse,Hada,,101,72,72,99,89,29,6,FALSO
755,Swirlix,Hada,,62,48,66,59,57,49,6,FALSO
756,Slurpuff,Hada,,82,80,86,85,75,72,6,FALSO
757,Inkay,Siniestro,Psiquico,53,54,53,37,46,45,6,FALSO
758,Malamar,Siniestro,Psiquico,86,92,88,68,75,73,6,FALSO
759,Binacle,Roca,Agua,42,52,67,39,56,50,6,FALSO
760,Barbaracle,Roca,Agua,72,105,115,54,86,68,6,FALSO
761,Skrelp,Veneno,Agua,50,60,60,60,60,30,6,FALSO
762,Dragalge,Veneno,Dragon,65,75,90,97,123,44,6,FALSO
763,Clauncher,Agua,,50,53,62,58,63,44,6,FALSO
764,Clawitzer,Agua,,71,73,88,120,89,59,6,FALSO
765,Helioptile,Electrico,Normal,44,38,33,61,43,70,6,FALSO
766,Heliolisk,Electrico,Normal,62,55,52,109,94,109,6,FALSO
767,Tyrunt,Roca,Dragon,58,89,77,45,45,48,6,FALSO
768,Tyrantrum,Roca,Dragon,82,121,119,69,59,71,6,FALSO
769,Amaura,Roca,Hielo,77,59,50,67,63,46,6,FALSO
770,Aurorus,Roca,Hielo,123,77,72,99,92,58,6,FALSO
771,Sylveon,Hada,,95,65,65,110,130,60,6,FALSO
772,Hawlucha,Combate,Volador,78,92,75,74,63,118,6,FALSO
773,Dedenne,Electrico,Hada,67,58,57,81,67,101,6,FALSO
774,Carbink,Roca,Hada,50,50,150,50,150,50,6,FALSO
775,Goomy,Dragon,,45,50,35,55,75,40,6,FALSO
776,Sliggoo,Dragon,,68,75,53,83,113,60,6,FALSO
777,Goodra,Dragon,,90,100,70,110,150,80,6,FALSO
778,Klefki,Acero,Hada,57,80,91,80,87,75,6,FALSO
779,Phantump,Fantasma,Planta,43,70,48,50,60,38,6,FALSO
780,Trevenant,Fantasma,Planta,85,110,76,65,82,56,6,FALSO
781,Pumpkaboo tama?o normal,Fantasma,Planta,49,66,70,44,55,51,6,FALSO
782,Pumpkaboo tama?o peque?o,Fantasma,Planta,44,66,70,44,55,56,6,FALSO
783,Pumpkaboo tama?o grande,Fantasma,Planta,54,66,70,44,55,46,6,FALSO
784,Pumpkaboo tama?o extragrande,Fantasma,Planta,59,66,70,44,55,41,6,FALSO
785,Gourgeist tama?o normal,Fantasma,Planta,65,90,122,58,75,84,6,FALSO
786,Gourgeist tama?o peque?o,Fantasma,Planta,55,85,122,58,75,99,6,FALSO
787,Gourgeist tama?o grande,Fantasma,Planta,75,95,122,58,75,69,6,FALSO
788,Gourgeist tama?o extragrande,Fantasma,Planta,85,100,122,58,75,54,6,FALSO
789,Bergmite,Hielo,,55,69,85,32,35,28,6,FALSO
790,Avalugg,Hielo,,95,117,184,44,46,28,6,FALSO
791,Noibat,Volador,Dragon,40,30,35,45,40,55,6,FALSO
